NAME,B01003_001E,B19013_001E,state,county,tract
Census Tract 3339.05; Harris County; Texas,3356,64645,48,201,333905
Census Tract 3339.06; Harris County; Texas,5719,104850,48,201,333906
Census Tract 3340.01; Harris County; Texas,3286,44479,48,201,334001
Census Tract 3340.02; Harris County; Texas,2396,73857,48,201,334002
Census Tract 3340.03; Harris County; Texas,5045,69449,48,201,334003
Census Tract 3341.01; Harris County; Texas,8807,68670,48,201,334101
Census Tract 3341.02; Harris County; Texas,6368,70990,48,201,334102
Census Tract 3401.01; Harris County; Texas,1563,56619,48,201,340101
Census Tract 3401.02; Harris County; Texas,5639,85278,48,201,340102
Census Tract 3402.01; Harris County; Texas,0,-666666666,48,201,340201
Census Tract 3402.02; Harris County; Texas,8530,167647,48,201,340202
Census Tract 3402.03; Harris County; Texas,4530,133547,48,201,340203
Census Tract 3403.01; Harris County; Texas,3420,204773,48,201,340301
Census Tract 3403.02; Harris County; Texas,6673,144127,48,201,340302
Census Tract 3404; Harris County; Texas,1062,150144,48,201,340400
Census Tract 3405.01; Harris County; Texas,3468,79375,48,201,340501
Census Tract 3405.02; Harris County; Texas,2187,54105,48,201,340502
Census Tract 3406; Harris County; Texas,2443,111058,48,201,340600
Census Tract 3407.01; Harris County; Texas,4113,72762,48,201,340701
Census Tract 3407.02; Harris County; Texas,3747,102868,48,201,340702
Census Tract 3408; Harris County; Texas,5707,142524,48,201,340800
Census Tract 3409; Harris County; Texas,4989,42523,48,201,340900
Census Tract 3410.01; Harris County; Texas,4337,59684,48,201,341001
Census Tract 3410.02; Harris County; Texas,3912,91188,48,201,341002
Census Tract 3411.01; Harris County; Texas,1989,61769,48,201,341101
Census Tract 3411.02; Harris County; Texas,2221,58750,48,201,341102
Census Tract 3412.01; Harris County; Texas,4850,64833,48,201,341201
Census Tract 3412.03; Harris County; Texas,2516,73692,48,201,341203
Census Tract 3412.04; Harris County; Texas,3606,74013,48,201,341204
Census Tract 3413.02; Harris County; Texas,3751,74803,48,201,341302
Census Tract 3413.03; Harris County; Texas,3045,58424,48,201,341303
Census Tract 3413.04; Harris County; Texas,1725,82955,48,201,341304
Census Tract 3414; Harris County; Texas,6084,143359,48,201,341400
Census Tract 3415.01; Harris County; Texas,6549,93045,48,201,341501
Census Tract 3415.02; Harris County; Texas,4573,106548,48,201,341502
Census Tract 3416; Harris County; Texas,6813,115793,48,201,341600
Census Tract 3417; Harris County; Texas,2977,75208,48,201,341700
