stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id,route_ids,route_names,route_types
29.764843,0,392,-95.335471,,,,CLINTON DR & GREGG ST,Clinton Dr @ Gregg St,0,392,,30,30,3
29.76489,0,391,-95.333628,,,,CLINTON DR & BRINGHURST ST,Clinton Dr @ Bringhurst St,0,391,,30,30,3
29.764735,0,395,-95.342001,,,,CLINTON DR & SYDNOR ST,Clinton Dr @ Sydnor St Mb2,0,395,,30,30,3
29.764768,0,394,-95.340476,,,,CLINTON DR & SYDNOR ST,Clinton Dr @ Sydnor St Mb1,0,394,,30,30,3
29.792056,0,2308,-95.30599,,,,LIBERTY RD & MAJESTIC ST,Liberty Rd @ Majestic St,0,2308,,77,77,3
29.600356,0,4729,-95.48241,,,,W FUQUA ST & W RIDGECREEK DR,W Fuqua St @ W Ridgecreek Dr,0,4729,,98,98,3
29.59967,0,4728,-95.483492,,,,W FUQUA ST & CHIMNEY ROCK RD,W Fuqua St @ Chimney Rock Rd,0,4728,,98,98,3
29.787476,0,2301,-95.321184,,,,LIBERTY RD & SOLO,Liberty Rd @ Solo,0,2301,,66,66,3
29.787588,0,2300,-95.324074,,,,LIBERTY RD & KASHMERE ST,Liberty Rd @ Kashmere St,0,2300,,66,66,3
29.59889,0,4727,-95.486894,,,,W FUQUA ST & RIDGEROCK RD,W Fuqua St @ Ridgerock Rd,0,4727,,98,98,3
29.598796,0,4726,-95.493197,,,,W FUQUA ST & BLUE RIDGE RD,W Fuqua St @ Blue Ridge Rd,0,4726,,98,98,3
29.629663,0,4721,-95.507559,,,,FONDREN RD & S MAIN ST,Fondren Rd @ S Main St,0,4721,,63,63,3
29.629327,0,4720,-95.507258,,,,FONDREN RD & S MAIN ST,Fondren Rd @ S Main St,0,4720,,63,63,3
29.791209,0,2307,-95.307993,,,,LIBERTY RD & ENGLEWOOD,Liberty Rd @ Englewood,0,2307,,77,77,3
29.79013,0,2306,-95.310549,,,,LIBERTY RD & DABNEY ST,Liberty Rd @ Dabney St,0,2306,,77,77,3
29.873652,0,5847,-95.397995,,,,NORTHLINE DR & SCHADE LN,Northline Dr @ Schade Ln,0,5847,,99,99,3
29.875377,0,5845,-95.401679,,,,CANINO RD & MEADOWMOOR DR,Canino Rd @ Meadowmoor Dr,0,5845,,99,99,3
29.875543,0,5844,-95.405197,,,,BERWYN DR & CANINO RD,Berwyn Dr @ Canino Rd,0,5844,,99,99,3
29.878124,0,5843,-95.40521,,,,BERWYN DR & W CARBY RD,Berwyn Dr @ W Carby Rd,0,5843,,99,99,3
29.88062,0,5842,-95.405746,,,,BERWYN DR & NELLIS RD,Berwyn Dr @ Nellis Rd,0,5842,,99,99,3
29.884301,0,5841,-95.406426,,,,SMART & BERWYN DR,Smart St @ Berwyn Dr,0,5841,,99,99,3
29.884299,0,5840,-95.408104,,,,SMART & SWEETWATER LN,Smart   @ Sweetwater Ln,0,5840,,99,99,3
29.902475,0,11281,-95.343958,,,,ALDINE MAIL ROUTE RD & DEERGROVE ST,Aldine Mail Route Rd @ Deergrove St,0,11281,,59,59,3
29.902528,0,11280,-95.339571,,,,ALDINE MAIL ROUTE RD & FALL MEADOW LN,Aldine Mail Route Rd @ Fall Meadow,0,11280,,59,59,3
29.902434,0,11283,-95.351409,,,,ALDINE MAIL ROUTE RD & RUSS DR,Aldine Mail Route Rd @ Russ Dr,0,11283,,59,59,3
29.902456,0,11282,-95.34811,,,,ALDINE MAIL ROUTE RD & RUSS DR,Aldine Mail Route Rd @ Russ Dr,0,11282,,59,59,3
29.902189,0,11285,-95.389227,,,,ALDINE MAIL ROUTE RD & BURTCLIFF ST,Aldine Mail Route Rd @ Burtcliff St,0,11285,,59,59,3
29.902412,0,11284,-95.354901,,,,ALDINE MAIL ROUTE RD & ALDINE WESTFIELD RD,Aldine Mail Route Rd @ Aldine Westf,0,11284,,59,59,3
29.870113,0,5849,-95.397964,,,,NORTHLINE DR & E LITTLE YORK RD,Northline Dr @ E Little York Rd,0,5849,,99,99,3
29.915273,0,11286,-95.408525,,,,WEST RD & SWEETWATER LN,West Rd @ Sweetwater Ln,0,11286,,59,59,3
29.800505,0,3748,-95.342134,,,,JENSEN DR & BAY ST,Jensen Dr @ Bay St,0,3748,,"26,6","26,6",3
29.80175,0,3749,-95.34209,,,,JENSEN DR & CAVALCADE ST,Jensen Dr @ Cavalcade St,0,3749,,"26,6","26,6",3
29.793334,0,3746,-95.342009,,,,JENSEN DR & COLLINGSWORTH ST,Jensen Dr @ Collingsworth St,0,3746,,6,6,3
29.79646,0,3747,-95.342083,,,,JENSEN DR & CRANE ST,Jensen Dr @ Crane St,0,3747,,"26,6","26,6",3
29.789773,0,3744,-95.341937,,,,JENSEN DR & JEWEL ST,Jensen Dr @ Jewel St,0,3744,,6,6,3
29.791215,0,3745,-95.341964,,,,JENSEN DR & EVELLA,Jensen Dr @ Evella,0,3745,,6,6,3
